Classifier,Accuracy Train,Precision Train,Recall Train,Accuracy Test,Precision Test,Recall Test
GaussianNB,0.5349,0.1739,0.8,0.73373,0.23914,0.457
        GNB with Pipeline,0.5116,0.1667,0.8,0.53533,0.20024,0.83
Decision Tree,0.8605,0.3333,0.2,0.79853,0.24951,0.2545
        DT with Pipeline,0.8605,0.4,0.4,0.805,0.23556,0.206
SVM,0.8837,0,0,divide by 0,divide by 0,divide by 0
AdaBoost + DecisionTree,0.8139,0.2857,0.4,0.81447,0.28826,0.2665
Linear SVC,0.8372,0.375,0.6,divide by 0,divide by 0,divide by 0
Random Forest,0.8837,0,0,0.85807,0.41699,0.162
KNeighbors,0.907,1,0.2,0.85867,0.39547,0.1135
Logistic Regression,0.8372,0.375,0.6,0.82773,0.31635,0.2515
        LR - with Pipeline,0.907,1,0.2,0.7746,0.16946,0.177
        LR - with best parameters:,0.75107,0.3101,0.708,0.75107,0.31012,0.708
